date,diesel,midgrade_ref,premium_conv,premium_ref,midgrade_conv,regular_ref,regular_conv,crude_oil,usd_index,covid_flag,crisis_flag
2006-01-02,0.3907110994489635,0.3761832061068702,0.4231847927703333,0.3840269277845778,0.4228103339634532,0.3874121600977696,0.4263174502997791,0.431537356321839,0.3849652049692209,0,0
2006-01-09,0.4019942272369456,0.4061068702290077,0.4518541601745091,0.4134026927784577,0.450850661625709,0.4176596394744883,0.4531397917324077,0.4340517241379309,0.3720050873235663,0,0
2006-01-16,0.3925478876935187,0.4164885496183206,0.4474914303521344,0.4222766217870257,0.4451795841209831,0.4259089520317751,0.4455664247396654,0.4559626436781609,0.3745311064098513,0,0
2006-01-23,0.3985830490684859,0.4204580152671756,0.452477407291991,0.4268665850673194,0.4505356017643352,0.4301863733577758,0.4509308930261911,0.4561781609195401,0.3562667638052801,0,0
2006-01-30,0.4030438205195486,0.4302290076335878,0.4562168899968836,0.4348225214198287,0.454631379962193,0.4384356859150626,0.4566109182707477,0.4545258620689655,0.3639231753948717,0,0
2006-02-06,0.4056678037260561,0.431145038167939,0.4496727952633217,0.4339045287637698,0.4489603024574669,0.438741216009777,0.4496686651940674,0.4291666666666666,0.3777592010556558,0,0
2006-02-13,0.3996326423510889,0.418320610687023,0.4303521346213772,0.4207466340269277,0.4300567107750473,0.4246868316529178,0.4294730198800883,0.4026580459770114,0.3817397048376794,0,0
2006-02-20,0.3941222776174232,0.4024427480916031,0.4160174509192893,0.4042227662178702,0.4165091367359799,0.4087992667277727,0.4165351846008204,0.4066810344827585,0.3782132410516494,0,0
2006-02-27,0.3983206507478352,0.3951145038167939,0.4222499220941101,0.3968788249694002,0.4234404536862005,0.4029941949282005,0.4263174502997791,0.4234913793103448,0.3655234717921813,0,0
2006-03-06,0.4177381264759904,0.4112977099236641,0.4471798067933934,0.412484700122399,0.449905482041588,0.4213260006110602,0.4531397917324077,0.4135775862068965,0.3870869987333578,0,0
