date,diesel,midgrade_ref,premium_conv,premium_ref,midgrade_conv,regular_ref,regular_conv,crude_oil,usd_index,covid_flag,crisis_flag,regular_conv_lag1,regular_conv_lag4,regular_conv_lag8,crude_oil_lag1,crude_oil_lag4,crude_oil_lag8,usd_index_lag1,usd_index_lag4,usd_index_lag8,regular_conv_roll_mean_4,regular_conv_roll_std_4,regular_conv_roll_mean_12,regular_conv_roll_std_12,crude_oil_roll_mean_4,crude_oil_roll_std_4,crude_oil_roll_mean_12,crude_oil_roll_std_12,usd_index_roll_mean_4,usd_index_roll_std_4,usd_index_roll_mean_12,usd_index_roll_std_12
2006-03-27,0.4229860928890054,0.4693129770992367,0.5001558117793703,0.4697062423500612,0.5012602394454946,0.4775435380384968,0.5029977911012937,0.4479166666666666,0.3906170948393552,0,0,0.5080467024297886,0.4263174502997791,0.4566109182707477,0.4169540229885057,0.4234913793103448,0.4545258620689655,0.384426583808259,0.3655234717921813,0.3639231753948717,0.4628431681918586,0.03402300625259287,0.44830125170926677,0.023882597697654835,0.42004310344827583,0.005788583710167818,0.4292444923371647,0.018493086236436727,0.37845517950665813,0.009664177875434605,0.3752686835728673,0.009402912305463187
2006-04-03,0.4366308055628443,0.4964885496183206,0.527578684948582,0.4975520195838433,0.5283553875236295,0.5059578368469295,0.5307668034080152,0.4543103448275861,0.3781395568465857,0,0,0.5029977911012937,0.4531397917324077,0.4496686651940674,0.4479166666666666,0.4135775862068965,0.4291666666666666,0.3906170948393552,0.3870869987333578,0.3777592010556558,0.4820132533922373,0.027574093339582134,0.454691280109393,0.027456738769243108,0.4261494252873562,0.01545336380390839,0.43060943486590025,0.019266015004498604,0.3847285852684516,0.005872240990818136,0.3757396743953785,0.01005191782254499
2006-04-10,0.446339543426922,0.5245801526717557,0.5590526643814271,0.5263157894736842,0.5598613736609956,0.5346776657500765,0.5610602713789837,0.4707614942528734,0.3812316989450184,0,0,0.5307668034080152,0.4638687283054591,0.4294730198800883,0.4543103448275861,0.4261494252873563,0.4026580459770114,0.3781395568465857,0.3767836636928345,0.3817397048376794,0.5014200063111391,0.027795296280714168,0.46116019774902695,0.03513029374680117,0.4363326149425286,0.017669335054846896,0.4322976532567049,0.02044650554106364,0.38249172479675864,0.006358423419793894,0.3762508801889634,0.01000058130058221
2006-04-17,0.475465757019155,0.555114503816794,0.5911498909317543,0.5578335373317013,0.5904221802142409,0.5652306752215093,0.5929315241401072,0.4924568965517241,0.3595483054448993,0,0,0.5610602713789837,0.5080467024297886,0.4165351846008204,0.4707614942528734,0.4169540229885057,0.4066810344827585,0.3812316989450184,0.384426583808259,0.3782132410516494,0.5257178920795202,0.02647671437475919,0.47078468496897025,0.044924990848122716,0.44748563218390797,0.022514494653507005,0.43353089080459767,0.022360355078463685,0.3836037336098046,0.005333794594717251,0.37680926290022737,0.01008255617141707
2006-04-24,0.5045919706113879,0.605496183206107,0.6266749766282329,0.6110771113831089,0.6279143037177064,0.6141154903758022,0.6298516882297254,0.4817528735632183,0.3377922655454211,0,0,0.5929315241401072,0.5029977911012937,0.4263174502997791,0.4924568965517241,0.4479166666666666,0.4234913793103448,0.3595483054448993,0.3906170948393552,0.3655234717921813,0.5469390975071,0.03876034212176474,0.4826180708951298,0.056444769324459805,0.4663613505747125,0.0198810788457417,0.4365541187739463,0.027550840101000937,0.3773841640189647,0.013020528055120304,0.37708272470352894,0.009502565851399112
2006-05-01,0.5098399370244029,0.6225954198473282,0.6229354939233405,0.6248470012239902,0.6244486452425961,0.6281698747326612,0.6251183338592615,0.4943965517241378,0.30788581854071,0,0,0.6298516882297254,0.5307668034080152,0.4531397917324077,0.4817528735632183,0.4543103448275861,0.4135775862068965,0.3377922655454211,0.3781395568465857,0.3870869987333578,0.5786525717892079,0.0425353729332411,0.4970548017250446,0.06977005579769195,0.4748204022988505,0.016291534400450676,0.4388230363984673,0.030162747530049317,0.36417795669548114,0.020028269784326924,0.37490514888274146,0.014481809093249507
2006-05-08,0.5101023353450538,0.6354198473282444,0.6114054222499219,0.6349449204406364,0.6134215500945182,0.6394744882370915,0.615020511202272,0.4897988505747125,0.2888908607197287,0,0,0.6251183338592615,0.5610602713789837,0.4638687283054591,0.4943965517241378,0.4707614942528734,0.4261494252873563,0.30788581854071,0.3812316989450184,0.3767836636928345,0.6022404544020195,0.03198041722877809,0.5116756074471441,0.07695103186380176,0.4848419540229884,0.010909925944929311,0.44425886015325666,0.0339093667600108,0.34661452211901217,0.031322922247827026,0.36908236700649594,0.024089866411749306
2006-05-15,0.516137496720021,0.6464122137404582,0.6204425054534121,0.6465728274173805,0.6228733459357279,0.6516956920256647,0.6266961186494161,0.4723419540229884,0.3068189542758373,0,0,0.615020511202272,0.5929315241401072,0.5080467024297886,0.4897988505747125,0.4924568965517241,0.4169540229885057,0.2888908607197287,0.3595483054448993,0.384426583808259,0.6157305143578415,0.016409720350455348,0.5271378983906595,0.07757107520245625,0.4896012931034482,0.005561345596376993,0.45152059386973176,0.033519012736798276,0.32352931256268974,0.03133337372690193,0.36134496333000005,0.03294016447608454
2006-05-22,0.5077407504591969,0.6400000000000001,0.5995637270177625,0.6407588739290087,0.6017643352236925,0.6440574396578063,0.6046071315872514,0.4815373563218389,0.3177890794819067,0,0,0.6266961186494161,0.6298516882297254,0.5029977911012937,0.4723419540229884,0.4817528735632183,0.4479166666666666,0.3068189542758373,0.3377922655454211,0.3906170948393552,0.6241716629851688,0.006410286729858076,0.5446513095613758,0.07397065318705517,0.48457255747126426,0.00968440809986034,0.45699233716475085,0.030781384013601434,0.3103469747704243,0.020265841823767415,0.35539543943201574,0.035928443590956836
2006-05-29,0.5061663605352926,0.627175572519084,0.5930196322842005,0.6285189718482252,0.5960932577189666,0.6318362358692331,0.5992426633007256,0.4900143678160919,0.3115700287939189,0,0,0.6046071315872514,0.6251183338592615,0.5307668034080152,0.4815373563218389,0.4943965517241378,0.4543103448275861,0.3177890794819067,0.30788581854071,0.3781395568465857,0.6178605238245503,0.01023819026813345,0.5595087830019985,0.0654572011488874,0.4845186781609194,0.009705900224258237,0.46182950191570865,0.029575474258927013,0.3053461782545457,0.012030823026952233,0.3514175734061595,0.03732067900985983
